ID,Title,Description,Type,Priority,Sprint,Owner,Labels,DependsOn,AcceptanceCriteria,Status
CORE-01,Implement ChapterManager runtime,"Build chapter unlock/complete flow and in-editor progression controls.",Task,P0,Sprint 0,Engineering,"core,narrative,progression",,"Chapter 1-12 can be progressed in-editor with debug controls.",TODO
CORE-02,Integrate Read/Rewrite world callbacks,"Hook defaults read/rewrite events to world systems and objects.",Task,P0,Sprint 0,Engineering,"core,defaults,interaction",CORE-01,"Any level object can register a default key and react to rewrite.",TODO
CORE-03,Implement Windprint mode switching,"Add Cushion/Guard mode switching with shared energy model and feedback.",Task,P0,Sprint 0,Engineering,"core,windprint,player",CORE-02,"Mode switch updates movement hazards and UI in real time.",TODO
CORE-04,Build symbolic verb executor,"Implement Pulse Thread Lash Radiant Hold Edge Claim and Retune runtime behavior.",Task,P0,Sprint 0,Engineering,"core,combat,verbs",CORE-03,"All verbs trigger effects cooldowns and VFX hooks.",TODO
CORE-05,Build sensory profile controller,"Create runtime accessibility profiles for clutter audio layering shake and subtitles.",Task,P0,Sprint 0,Engineering+UI,"core,accessibility,ui",CORE-02,"Runtime sliders and presets affect active scene without reload.",TODO
CORE-06,Implement save progression system,"Persist chapter state restored rules and composed preset outcomes.",Task,P0,Sprint 0,Engineering,"core,save,progression",CORE-01,"Load restores exact chapter state and selected defaults.",TODO
CORE-07,Create chapter debug panel,"Add tools to jump chapters complete objectives and spawn distortions.",Task,P1,Sprint 0,Engineering,"tools,debug,chapter",CORE-01,"Designers can validate chapter beats without code changes.",TODO
CH-01,Chapter 1 vertical slice,"Atrium blockout + tutorial read/rewrite + first terminal + dialogue.",Feature,P0,Sprint 1,Cross-Discipline,"chapter-01,level,narrative",CORE-01,"First-time players complete Ch01 in <6 minutes.",TODO
CH-02,Chapter 2 sensory proof,"Archive sensory escalation and relief with Radiant Hold and quiet route.",Feature,P0,Sprint 2,Cross-Discipline,"chapter-02,level,accessibility",CH-01,"A/B capture shows measurable relief after rewrite.",TODO
CH-03,Chapter 3 expression parity,"Social Hall communication parity and thread-lash echo loop resolution.",Feature,P0,Sprint 3,Cross-Discipline,"chapter-03,level,communication",CH-02,"All communication modes complete objectives equally.",TODO
CH-04,Chapter 4 node network,"Umbel node failover routing with grapple-thread traversal and restoration.",Feature,P0,Sprint 3,Cross-Discipline,"chapter-04,level,world",CH-03,"Alternate node routes pass without softlocks.",TODO
CH-05,Chapter 5 consent architecture,"Skybridge consent gates and Edge Claim safety rails.",Feature,P0,Sprint 4,Cross-Discipline,"chapter-05,level,consent",CH-04,"No hazard starts without explicit consent event.",TODO
CH-06,Chapter 6 correction shutdown,"Smoke Margin chase retune and correction-engine decommission flow.",Feature,P0,Sprint 4,Cross-Discipline,"chapter-06,level,systems",CH-05,"Correction engine retired through gameplay not cutscene only.",TODO
CH-07,Chapter 7 safe route main,"Rain Cliffs routing rewrite promotes safe route to primary.",Feature,P0,Sprint 5,Cross-Discipline,"chapter-07,level,routing",CH-06,"Telemetry shows safe route becomes dominant.",TODO
CH-08,Chapter 8 charter restore,"Sandstone foundation drift and charter inscription restoration.",Feature,P0,Sprint 5,Cross-Discipline,"chapter-08,level,foundations",CH-07,"Multiple valid routes available in final state.",TODO
CH-09,Chapter 9 predictable cues,"Veil cue sync across audio icon and light transitions.",Feature,P0,Sprint 6,Cross-Discipline,"chapter-09,level,cues",CH-08,"Transition cues are predictable and pass accessibility checks.",TODO
CH-10,Chapter 10 plural resilience,"Model society loop break with at least 3 valid route completions.",Feature,P0,Sprint 6,Cross-Discipline,"chapter-10,level,resilience",CH-09,"Three valid route solutions tracked and accepted.",TODO
CH-11,Chapter 11 principle integration,"Reliquary module collection and Windprint integration.",Feature,P0,Sprint 7,Cross-Discipline,"chapter-11,level,reliquary",CH-10,"Principle modules persist and affect finale.",TODO
CH-12,Chapter 12 finale and ending,"Windcore Standardiser encounter + final composition + ending branches.",Feature,P0,Sprint 7,Cross-Discipline,"chapter-12,level,finale",CH-11,"End-to-end run from Ch01 to Ch12 succeeds from clean save.",TODO
ENG-01,Reusable terminal controller,"Build chapter-driven DesignTerminalController data injection pipeline.",Task,P1,Sprint 0,Engineering,"engineering,interaction,terminal",CORE-02,"Chapter terminals configured from data not hardcoded.",TODO
ENG-02,Distortion spawner profiles,"Create per-chapter distortion spawn profile assets and loader.",Task,P1,Sprint 3,Engineering,"engineering,combat,world",CORE-04,"Each chapter loads correct distortion profile set.",TODO
ENG-03,Communication parity tests,"Automated tests for equal outcomes across communication modes.",Task,P0,Sprint 9,Engineering+QA,"engineering,test,accessibility",CH-03,"All communication modes pass chapter objectives equally.",TODO
ENG-04,Safe route visibility tests,"Tests guaranteeing safe routes remain visible after rewrite.",Task,P0,Sprint 9,Engineering+QA,"engineering,test,routing",CH-07,"No chapter hides safe main path post-rewrite.",TODO
ENG-05,Ending resolver,"Resolve ending state based on composed preset and saved rule history.",Task,P0,Sprint 7,Engineering,"engineering,ending,save",CH-12,"Ending variants consistently match composed preset.",TODO
ART-01,Drift material variants,"Create rigid transitional and plural material sets.",Task,P1,Sprint 5,Art,"art,materials,drift",CH-08,"All districts support before/after drift material swap.",TODO
ART-02,District prop kits,"Create prop kits with pre/post rewrite states per district.",Task,P1,Sprint 6,Art,"art,environment,district",CH-04,"Each district has coherent transformed state props.",TODO
ART-03,Terminal visual language pass,"Unify affordance silhouettes and readability for terminals.",Task,P1,Sprint 4,Art,"art,interaction,ux",ENG-01,"Players identify terminals instantly at gameplay speed.",TODO
ART-04,World relax overlays,"Add decal and lighting overlays to signal systemic relief.",Task,P1,Sprint 8,Art,"art,lighting,vfx",CH-02,"Rewrites produce legible environment relaxation cues.",TODO
ANM-01,Player locomotion full set,"Finalize idle run jump triple-hop wall-run glide grapple.",Task,P0,Sprint 8,Animation,"animation,player,locomotion",CH-07,"No placeholder locomotion remains in gameplay.",TODO
ANM-02,Combat verb animation set,"Finalize all five symbolic verb animations and transitions.",Task,P0,Sprint 8,Animation,"animation,player,combat",CORE-04,"All verbs trigger finished animations with clean transitions.",TODO
ANM-03,NPC reaction library,"Build tense relieved curious resolved reaction clips.",Task,P1,Sprint 8,Animation,"animation,npc,narrative",CH-04,"NPC reactions map to chapter completion consequences.",TODO
ANM-04,Distortion animation states,"Create unstable contained resolved states for pattern entities.",Task,P1,Sprint 8,Animation,"animation,systems,distortion",CH-06,"Distortion lifecycle is readable and consistent.",TODO
AUD-01,Chapter motifs and rewrite stingers,"Compose and implement per-chapter musical motifs and rewrite cues.",Task,P1,Sprint 9,Audio,"audio,music,narrative",CH-12,"Each chapter has motif and rewrite cue transitions.",TODO
AUD-02,Drift corruption layers,"Implement district-specific corruption layers and transitions.",Task,P1,Sprint 9,Audio,"audio,systems,drift",CH-06,"Drift intensity audibly changes with restoration progress.",TODO
AUD-03,Post-rewrite calm snapshots,"Mix post-rewrite calm snapshots for all chapters.",Task,P1,Sprint 9,Audio,"audio,mix,accessibility",CH-09,"Calm state audibly distinct and consistent across chapters.",TODO
AUD-04,Accessibility mix presets,"Low-layer and no-shake-accented mixes for accessibility.",Task,P0,Sprint 9,Audio+QA,"audio,accessibility,mix",CORE-05,"Accessibility presets pass regression listening checks.",TODO
QA-01,Mainline completion tests,"Verify chapter completion without electives.",Task,P0,Sprint 10,QA,"qa,progression,mainline",CH-12,"All chapters complete on mainline route from clean save.",TODO
QA-02,Elective completion tests,"Verify chapter completion with electives enabled.",Task,P1,Sprint 10,QA,"qa,electives,progression",CH-12,"Electives do not block or break chapter completion.",TODO
QA-03,No forced timer blockers,"Validate no forced timer gates on required routes.",Task,P0,Sprint 10,QA,"qa,accessibility,routing",CH-07,"Required routes remain completable without forced timing gates.",TODO
QA-04,No punitive progress loss,"Validate no hard fail erases chapter progress.",Task,P0,Sprint 10,QA,"qa,save,accessibility",CORE-06,"Player progress is preserved after failures.",TODO
QA-05,Ending consistency tests,"Verify ending outcome matches composed preset and state.",Task,P0,Sprint 10,QA,"qa,ending,regression",ENG-05,"Ending variants are deterministic and correct.",TODO
SPRINT-00,Pre-production hardening milestone,"Foundation scaffolding save schema read/rewrite integration naming conventions.",Milestone,P0,Sprint 0,Leads,"milestone,planning,foundation",,"Foundation runtime and debug traversal ready.",TODO
SPRINT-01,Bract Theory milestone,"Ship Chapter 1 vertical slice quality.",Milestone,P0,Sprint 1,Leads,"milestone,chapter-01",SPRINT-00,"Ch01 shipped with full tutorial loop.",TODO
SPRINT-02,Felt Memory milestone,"Ship Chapter 2 sensory proof.",Milestone,P0,Sprint 2,Leads,"milestone,chapter-02",SPRINT-01,"Sensory rewrite impact is measurable.",TODO
SPRINT-03,Rayless+Umbel milestone,"Ship Chapters 3 and 4 systems.",Milestone,P0,Sprint 3,Leads,"milestone,chapter-03,chapter-04",SPRINT-02,"Communication parity and node routing complete.",TODO
SPRINT-04,Tickshape+Smoke milestone,"Ship Chapters 5 and 6 systems.",Milestone,P0,Sprint 4,Leads,"milestone,chapter-05,chapter-06",SPRINT-03,"Consent architecture and correction shutdown complete.",TODO
SPRINT-05,Afterrain+Sandstone milestone,"Ship Chapters 7 and 8 systems.",Milestone,P0,Sprint 5,Leads,"milestone,chapter-07,chapter-08",SPRINT-04,"Safe route main + charter rewrite complete.",TODO
SPRINT-06,Veil+Clonal milestone,"Ship Chapters 9 and 10 systems.",Milestone,P0,Sprint 6,Leads,"milestone,chapter-09,chapter-10",SPRINT-05,"Cue sync and plural route branches complete.",TODO
SPRINT-07,Reliquary+Finale milestone,"Ship Chapters 11 and 12 systems.",Milestone,P0,Sprint 7,Leads,"milestone,chapter-11,chapter-12",SPRINT-06,"Playable end-to-end story arc complete.",TODO
SPRINT-08,Animation integration milestone,"Replace placeholders with final animation sets.",Milestone,P0,Sprint 8,Leads,"milestone,animation,polish",SPRINT-07,"No gameplay-critical placeholder animation remains.",TODO
SPRINT-09,Audio+Accessibility milestone,"Audio legibility and accessibility compliance pass.",Milestone,P0,Sprint 9,Leads,"milestone,audio,accessibility",SPRINT-08,"Accessibility regression suite passes all chapters.",TODO
SPRINT-10,QA stabilization milestone,"Bug fixing optimization and release candidate lock.",Milestone,P0,Sprint 10,Leads,"milestone,qa,optimization",SPRINT-09,"Zero P0/P1 issues open and tests green.",TODO
SPRINT-11,Gold master milestone,"Content lock certification checklist and launch package.",Milestone,P0,Sprint 11,Leads,"milestone,release,gold",SPRINT-10,"Gold candidate approved by discipline leads.",TODO
